id;ride_date_time;ride_city_from;ride_city_to;ride_type;ride_comments
1;2023-07-05T19:53:29;Peso override;synergistic;REQUEST;../fake-data/blob/hipster.txt
2;2023-07-05T15:49:34;Jordanian Plastic Strategist;Anguilla;REQUEST;../fake-data/blob/hipster.txt
3;2023-07-05T03:58:52;Station;scale open-source Electronics;REQUEST;../fake-data/blob/hipster.txt
4;2023-07-05T04:37:14;Integration Awesome Intranet;Utah deposit Dakota;REQUEST;../fake-data/blob/hipster.txt
5;2023-07-06T00:11:33;redundant;Future-proofed SDD array;OFFER;../fake-data/blob/hipster.txt
6;2023-07-05T20:02:55;Buckinghamshire multi-state Dong;Proactive;REQUEST;../fake-data/blob/hipster.txt
7;2023-07-05T12:39:43;optical;Mobility;OFFER;../fake-data/blob/hipster.txt
8;2023-07-05T04:08:23;bluetooth Concrete;Creative Wisconsin;OFFER;../fake-data/blob/hipster.txt
9;2023-07-05T17:53:01;FTP Cotton;Personal back;OFFER;../fake-data/blob/hipster.txt
10;2023-07-05T21:15:58;Delaware up Colombia;Summit Manager seamless;OFFER;../fake-data/blob/hipster.txt
